Dis_r       Dis_i      Devide_Dis        F_r      F_i      D_f       fit_norm		Cr         Fw         Fa			
14.6942		13.611       0.480866       4.92576e+06        5.51583e+06        590077         0.3108			0.956932          0.450518            0.654694
18.4435		32.8279       0.640277       3.9244e+06        6.28632e+06        2.36191e+06         -0.664799			0.956932          0.450518            0.12021
10.6259		7.56574       0.415891       5.83163e+06        6.67918e+06        847553         0.550318			0.956932          0.450518            0.614349
18.8796		35.5581       0.653189       7.40624e+06        6.66573e+06        -740505         1.30651			0.960114          0.450518            0.512067
9.65437		21.6372       0.69147       5.90628e+06        1.10308e+07        5.12455e+06         0.238364			0.9          0.450518            0.894957
40.207		40.3983       0.501187       6.46761e+06        5.8591e+06        -608505         1.53266			0.960114          0.450518            0.362952
25.0902		56.9727       0.694256       5.5807e+06        6.7575e+06        1.1768e+06         0.524229			0.960114          0.450518            0.479548
49.5938		33.9735       0.40654       4.53101e+06        7.61988e+06        3.08887e+06         -0.0639627			0.954824          0.450518            0.564001
59.0594		67.8136       0.5345       6.83586e+06        6.12782e+06        -708044         1.40558			0.9          0.450518            0.739856
11.0869		34.8691       0.75875       6.6323e+06        9.97083e+06        3.33853e+06         0.421878			0.960114          0.450518            0.483415
35.1722		44.4389       0.5582       5.41893e+06        4.47554e+06        -943390         4.71182			0.960114          0.450518            0.575112
11.4409		18.0045       0.611454       5.90628e+06        6.40468e+06        498400         0.787399			0.952962          0.450518            0.417596
3.637		21.5213       0.855435       6.08178e+06        4.82143e+06        -1.26035e+06         11.9298			0.960114          0.450518            0.613862
18.1377		16.077       0.469886       6.50468e+06        5.93173e+06        -572944         1.46222			0.956932          0.450518            0.893346
6.79743		40.9924       0.857764       5.81888e+06        5.33884e+06        -480043         1.71512			0.960114          0.450518            0.371783
58.5077		54.6814       0.483098       4.78613e+06        7.40624e+06        2.62011e+06         0.133607			0.952962          0.450518            0.733999
26.2526		6.39197       0.195805       5.31989e+06        6.11607e+06        796186         0.550207			0.956932          0.450518            0.517044
10.2186		20.0146       0.662007       6.31884e+06        5.09233e+06        -1.22651e+06         2.53958			0.954824          0.450518            0.446133
20.9953		4.44796       0.174819       5.78813e+06        5.5949e+06        -193233         1.12431			0.956932          0.450518            0.2811
31.2835		46.4311       0.597457       5.71187e+06        5.84941e+06        137543         0.91681			0.956932          0.450518            0.532728
31.2846		24.2295       0.436457       9.77033e+06        5.40156e+06        -4.36877e+06         4.624			0.956932          0.450518            0.120922
3.83949		18.5832       0.828768       5.25903e+06        6.24131e+06        982275         0.365918			0.960114          0.450518            0.132095
4.44796		28.2095       0.8638       5.5949e+06        4.32194e+06        -1.27295e+06         5.52162			0.952962          0.450518            1
3.39634		9.22458       0.730896       8.37118e+06        5.74565e+06        -2.62553e+06         3.06716			0.9          0.450518            0.898701
3.87297		11.1516       0.742225       8.02244e+06        5.78813e+06        -2.23431e+06         3.24117			0.956932          0.450518            1
37.9597		14.8326       0.280961       1.06601e+07        6.89023e+06        -3.76983e+06         2.45298			0.956932          0.450518            0.625956
10.3333		8.37259       0.44759       6.12782e+06        7.07637e+06        948554         0.635289			0.952962          0.450518            0.523905
16.8212		28.664       0.630183       6.62102e+06        4.86758e+06        -1.75344e+06         2.72585			0.960114          0.450518            0.913979
43.7351		61.2563       0.583441       7.85397e+06        6.49512e+06        -1.35885e+06         1.45996			0.954824          0.450518            0.435936
3.84807		32.0749       0.89288       6.27055e+06        6.97305e+06        702501         0.795321			0.954824          0.450518            0.969152
6.69912		32.0577       0.82715       5.43726e+06        7.77143e+06        2.33417e+06         0.208756			0.952962          0.450518            0.475154
19.9685		13.0646       0.395499       5.771e+06        7.96743e+06        2.19643e+06         0.419807			0.960114          0.450518            1
12.1671		22.918       0.653212       5.4363e+06        7.89906e+06        2.46276e+06         0.391531			0.952962          0.450518            0.531637
25.1647		12.3111       0.328507       5.16478e+06        6.93722e+06        1.77243e+06         0.315093			0.956932          0.450518            0.558003
22.6563		5.87834       0.206007       5.33564e+06        8.15256e+06        2.81693e+06         0.233912			0.952962          0.450518            0.400303
34.8888		26.7641       0.434109       5.93003e+06        9.77033e+06        3.8403e+06         0.284721			0.952962          0.450518            0.53354
40.0557		34.0262       0.459305       6.34485e+06        4.24983e+06        -2.09503e+06         -6.45081			0.952962          0.450518            0.265142
28.2795		9.91234       0.259541       5.5949e+06        4.96712e+06        -627774         4.56826			0.9          0.450518            0.759538
32.0136		10.0955       0.239746       3.85159e+06        4.79119e+06        939601         -0.578788			0.956932          0.450518            0.554182
23.2976		10.5234       0.31115       5.42834e+06        6.74976e+06        1.32142e+06         0.50511			0.9          0.450518            0.821345
4.66929		16.7203       0.781703       7.397e+06        5.82623e+06        -1.57077e+06         2.21274			0.954824          0.450518            0.537234
58.3445		29.6875       0.337235       7.06164e+06        6.11782e+06        -943818         1.40434			0.952962          0.450518            0.457415
8.0071		18.9116       0.702544       6.79639e+06        6.27055e+06        -525844         1.39347			0.954824          0.450518            0.457153
33.0642		12.0031       0.266338       6.11607e+06        8.07831e+06        1.96223e+06         0.403053			0.9          0.450518            0.998794
42.3352		7.74495       0.154651       5.57355e+06        5.45372e+06        -119833         1.15091			0.960114          0.450518            0.611807
64.1214		58.8142       0.478415       7.15826e+06        6.41095e+06        -747308         1.30364			0.952962          0.450518            0.522686
30.3255		39.7724       0.567384       5.99594e+06        4.86153e+06        -1.13441e+06         -25.3992			0.956932          0.450518            0.425945
21.2287		48.25       0.694457       6.31884e+06        8.01277e+06        1.69393e+06         0.493626			0.960114          0.450518            0.487462
47.0401		68.0421       0.591248       7.0283e+06        4.43312e+06        -2.59518e+06         -8.15128			0.956932          0.450518            0.627966
16.1349		17.7601       0.523974       5.41893e+06        8.93522e+06        3.51629e+06         0.170793			0.954824          0.450518            0.5719
5.6696		2.43402       0.300362       4.79119e+06        8.60959e+06        3.8184e+06         0.0926319			0.956932          0.450518            0.777716
56.4108		55.6047       0.496402       4.79119e+06        7.33037e+06        2.53918e+06         0.0284992			0.9          0.450518            1
7.76271		39.6956       0.836431       8.70865e+06        5.59388e+06        -3.11477e+06         2.89456			0.954824          0.450518            1
57.1315		38.9553       0.405418       7.01419e+06        8.26301e+06        1.24882e+06         0.628163			0.954824          0.450518            0.47962
36.0002		32.4768       0.474273       4.69218e+06        5.06117e+06        368996         0.607535			0.952962          0.450518            0.518391
20.2845		36.7695       0.644468       5.45528e+06        6.49611e+06        1.04082e+06         0.616289			0.956932          0.450518            0.508591
10.8824		28.1213       0.720991       5.95299e+06        6.5054e+06        552418         0.654934			0.956932          0.450518            0.51508
28.374		7.13492       0.200933       5.25138e+06        6.84738e+06        1.59601e+06         0.431413			0.952962          0.450518            0.197211
15.878		9.97368       0.385804       6.58979e+06        7.25125e+06        661465         0.783079			0.954824          0.450518            0.491029
8.68005		18.4754       0.680357       4.86726e+06        4.07963e+06        -787628         -0.0584407			0.954824          0.450518            0.185489
47.0698		41.8953       0.470919       6.95376e+06        5.94316e+06        -1.01059e+06         1.66925			0.9          0.450518            0.558727
18.3045		17.6337       0.490667       5.71153e+06        6.7747e+06        1.06317e+06         0.685126			0.952962          0.450518            0.606676
27.9768		11.5073       0.291441       6.15447e+06        6.58979e+06        435317         0.841021			0.960114          0.450518            1
13.4377		26.5204       0.663705       6.44084e+06        7.57922e+06        1.13838e+06         0.574393			0.960114          0.450518            0.621848
23.9445		19.1395       0.444237       4.9591e+06        8.24707e+06        3.28797e+06         0.0485866			0.956932          0.450518            0.644313
4.74631		47.6445       0.909406       1.10308e+07        5.33564e+06        -5.69519e+06         9.88527			0.960114          0.450518            0.548513
8.85764		44.4997       0.833994       5.28683e+06        6.35361e+06        1.06678e+06         0.499688			0.9          0.450518            0.731485
