Dis_r       Dis_i      Devide_Dis        F_r      F_i      D_f       fit_norm		Cr         Fw         Fa			
29.5137		3.09649       0.0949547       3.9244e+06        5.0387e+06        1.1143e+06         0.256071			0.956932          0.450518            0.381956
10.6576		60.7343       0.850717       6.6323e+06        7.07418e+06        441880         0.865714			0.956932          0.450518            0.600924
54.9151		65.7281       0.544814       4.20192e+06        7.15826e+06        2.95634e+06         -0.052496			0.956932          0.450518            0.686169
11.4066		26.2652       0.697212       5.94316e+06        5.39533e+06        -547832         1.29541			0.952962          0.450518            0.253826
10.752		8.66244       0.446184       6.19647e+06        7.01225e+06        815774         0.774276			0.960114          0.450518            0.51893
7.51326		14.0719       0.651924       5.36328e+06        8.88008e+06        3.5168e+06         0.135033			0.960114          0.450518            0.430757
25.505		49.2716       0.658917       5.69596e+06        5.72211e+06        26151.8         0.975201			0.952962          0.450518            0.530731
28.3692		14.5322       0.338735       6.12782e+06        5.04198e+06        -1.08584e+06         4.70805			0.960114          0.450518            0.222534
3.69203		18.7506       0.835491       5.97976e+06        8.60385e+06        2.62409e+06         0.308357			0.952962          0.450518            0.565529
9.53921		17.0945       0.641837       7.49151e+06        8.08941e+06        597895         0.817045			0.952962          0.450518            0.760386
9.84818		50.9783       0.838094       6.61385e+06        5.28887e+06        -1.32498e+06         3.71235			0.956932          0.450518            0.301809
60.7557		71.4507       0.540448       5.57355e+06        5.47955e+06        -94003.1         1.07324			0.956932          0.450518            0.249269
24.7782		31.4875       0.559621       6.67918e+06        7.49812e+06        818938         0.735548			0.9          0.450518            0.769458
10.367		2.91405       0.219414       4.47554e+06        7.8034e+06        3.32787e+06         -0.0612342			0.9          0.450518            0.919479
16.5825		20.1473       0.548528       5.69703e+06        4.12097e+06        -1.57606e+06         -0.95836			0.954824          0.450518            0.24003
10.6926		31.0661       0.743944       6.97305e+06        5.31069e+06        -1.66236e+06         5.4143			0.956932          0.450518            0.630664
49.0368		21.2235       0.30207       5.62258e+06        4.66756e+06        -955024         -18.4319			0.9          0.450518            0.632397
12.2447		25.8672       0.678717       5.31069e+06        4.78613e+06        -524564         6.7355			0.956932          0.450518            0.492374
50.9676		43.1405       0.458415       6.5054e+06        7.97041e+06        1.46501e+06         0.59173			0.952962          0.450518            1
47.2327		31.7939       0.402319       6.49512e+06        4.20192e+06        -2.2932e+06         -14.9207			0.952962          0.450518            0.368275
3.39183		52.1737       0.938958       7.30865e+06        8.59071e+06        1.28206e+06         0.669963			0.9          0.450518            0.76536
22.1774		22.8483       0.507451       6.03795e+06        5.57525e+06        -462696         1.50975			0.956932          0.450518            1
17.4239		18.0701       0.509103       6.69398e+06        7.36921e+06        675235         0.730117			0.954824          0.450518            0.553672
20.3642		8.20796       0.287271       6.39372e+06        4.7167e+06        -1.67701e+06         3.18678			0.9          0.450518            0.832393
8.19076		52.7295       0.86555       5.25138e+06        7.06164e+06        1.81026e+06         0.366979			0.954824          0.450518            0.584114
17.0956		4.81427       0.21973       7.47396e+06        8.66025e+06        1.18628e+06         0.738662			0.952962          0.450518            0.481228
31.5752		5.95652       0.158706       8.88008e+06        5.20403e+06        -3.67605e+06         4.99572			0.952962          0.450518            0.628616
2.51311		29.0297       0.920327       4.81427e+06        8.91505e+06        4.10078e+06         0.00337652			0.960114          0.450518            0.659071
35.0345		35.3222       0.502045       6.12782e+06        5.83536e+06        -292455         1.25638			0.952962          0.450518            0.505312
39.5538		17.1286       0.302185       5.43249e+06        5.03642e+06        -396062         1.28517			0.952962          0.450518            0.675907
15.222		3.31217       0.178706       6.08178e+06        4.89047e+06        -1.1913e+06         15.7776			0.954824          0.450518            0.615076
32.8508		6.43673       0.163836       8.60959e+06        5.71187e+06        -2.89772e+06         3.12145			0.9          0.450518            1
39.1579		18.2588       0.318005       5.71153e+06        4.70611e+06        -1.00542e+06         2.71825			0.9          0.450518            1
15.2699		3.88509       0.202824       4.74914e+06        6.04796e+06        1.29881e+06         0.509836			0.952962          0.450518            0.399921
14.1566		8.71462       0.38103       4.04042e+06        8.26963e+06        4.22922e+06         -0.00474402			0.956932          0.450518            0.544152
3.41886		7.48889       0.686566       5.04752e+06        4.18174e+06        -865778         -5.17506			0.9          0.450518            0.956001
4.38513		5.60231       0.560935       8.58271e+06        6.24434e+06        -2.33836e+06         2.69101			0.960114          0.450518            0.578409
4.93367		4.39296       0.471013       5.71187e+06        6.39372e+06        681845         0.644536			0.952962          0.450518            0.595396
27.5581		60.0896       0.685581       5.35415e+06        5.90628e+06        552126         0.755559			0.952962          0.450518            0.576569
4.54929		14.8904       0.765979       9.97083e+06        5.5807e+06        -4.39014e+06         3.01152			0.956932          0.450518            0.587688
8.67516		5.41009       0.384096       5.39533e+06        4.28404e+06        -1.11129e+06         -3.49967			0.960114          0.450518            0.582422
41.3655		32.0938       0.436892       5.42449e+06        4.2158e+06        -1.20869e+06         -1.01965			0.954824          0.450518            1
13.0752		24.0343       0.647659       8.26662e+06        6.23306e+06        -2.03356e+06         1.88084			0.960114          0.450518            0.551279
3.53391		23.6923       0.870202       5.96106e+06        7.98144e+06        2.02038e+06         0.487346			0.956932          0.450518            0.411762
7.27795		35.1375       0.828413       7.11669e+06        6.62102e+06        -495674         1.20904			0.956932          0.450518            0.601228
44.7413		16.9179       0.274377       7.28531e+06        5.77671e+06        -1.5086e+06         2.0969			0.952962          0.450518            0.503907
11.0188		14.5826       0.569602       5.8591e+06        5.78807e+06        -71036.7         1.05353			0.954824          0.450518            0.598179
3.3628		26.8675       0.888761       6.89023e+06        5.42449e+06        -1.46574e+06         2.91643			0.956932          0.450518            0.850443
52.4744		43.8552       0.455262       7.57601e+06        6.74249e+06        -833517         1.36093			0.956932          0.450518            0.838223
10.288		40.7946       0.7986       5.27212e+06        7.04898e+06        1.77686e+06         0.513293			0.960114          0.450518            0.475122
22.9854		3.63301       0.136485       1.10308e+07        7.92852e+06        -3.1023e+06         1.98985			0.952962          0.450518            0.350858
18.0037		19.1312       0.515181       5.82623e+06        7.87802e+06        2.05179e+06         0.331263			0.954824          0.450518            0.393381
35.5603		14.8138       0.294076       5.42834e+06        4.9394e+06        -488945         1.82391			0.960114          0.450518            0.509536
14.7539		15.2084       0.507585       7.25125e+06        7.07094e+06        -180314         1.08438			0.956932          0.450518            0.172997
4.19246		18.0549       0.811552       6.31727e+06        7.0283e+06        711033         0.734921			0.954824          0.450518            0.0761083
42.9388		18.8503       0.305074       4.38208e+06        6.188e+06        1.80592e+06         0.0998582			0.9          0.450518            1
49.8083		30.722       0.381496       5.82841e+06        3.90037e+06        -1.92805e+06         -37.9894			0.960114          0.450518            0.729345
10.2728		31.0787       0.751573       5.8591e+06        5.95299e+06        93882.5         0.919543			0.9          0.450518            0.903064
38.5104		12.7164       0.248237       4.06039e+06        4.9341e+06        873719         -3.72382			0.960114          0.450518            0.473716
33.895		43.2904       0.560863       3.39821e+06        4.04042e+06        642210         1.7767			0.952962          0.450518            0.569643
21.9893		21.2295       0.49121       8.08941e+06        6.31727e+06        -1.77214e+06         2.0691			0.952962          0.450518            0.385256
42.7409		46.1093       0.518955       6.59252e+06        6.30228e+06        -290236         1.18687			0.954824          0.450518            0.515637
21.6767		26.3719       0.548859       8.80926e+06        6.83586e+06        -1.9734e+06         1.92164			0.960114          0.450518            0.372822
3.53132		32.1611       0.901063       4.86726e+06        6.72558e+06        1.85832e+06         0.368347			0.952962          0.450518            0.564958
39.6056		49.8717       0.557367       5.90628e+06        6.89072e+06        984445         0.604537			0.952962          0.450518            0.859946
15.7706		15.6241       0.497668       3.85159e+06        8.80926e+06        4.95767e+06         -0.255827			0.952962          0.450518            0.575405
7.99885		6.89257       0.462855       7.07948e+06        6.69398e+06        -385506         1.13605			0.954824          0.450518            0.446857
11.9543		22.7116       0.655156       5.94671e+06        7.01419e+06        1.06748e+06         0.661514			0.960114          0.450518            0.928287
27.6814		25.8672       0.483061       8.34317e+06        4.69467e+06        -3.6485e+06         -38.8922			0.9          0.450518            0.859412
14.8753		24.4955       0.622175       4.28404e+06        6.669e+06        2.38497e+06         -0.272249			0.9          0.450518            0.976779
10.84		12.4387       0.534338       6.68345e+06        5.62258e+06        -1.06087e+06         2.54089			0.9          0.450518            1
8.51941		5.30195       0.383606       7.28531e+06        4.34596e+06        -2.93935e+06         10.6202			0.954824          0.450518            0.583384
35.6197		33.7629       0.486619       7.65109e+06        4.74914e+06        -2.90195e+06         6.81184			0.956932          0.450518            0.642521
43.2371		10.6071       0.196996       5.5807e+06        6.61385e+06        1.03315e+06         0.408367			0.954824          0.450518            0.329218
15.1216		8.24365       0.352816       5.25903e+06        6.49171e+06        1.23268e+06         0.410296			0.952962          0.450518            0.849712
17.8988		6.34852       0.261824       6.09154e+06        4.96976e+06        -1.12177e+06         2.23356			0.952962          0.450518            0.53821
33.9723		28.2363       0.453897       4.86726e+06        5.98933e+06        1.12207e+06         0.475114			0.956932          0.450518            0.273543
23.6108		24.3812       0.508026       6.27055e+06        6.58432e+06        313775         0.874725			0.9          0.450518            0.890436
30.4579		3.01779       0.0901488       7.57601e+06        5.43726e+06        -2.13875e+06         2.70348			0.956932          0.450518            0.563806
21.5615		7.71362       0.263487       8.59071e+06        6.34626e+06        -2.24445e+06         2.45188			0.960114          0.450518            1
22.2301		25.4327       0.533597       4.18174e+06        5.31863e+06        1.13689e+06         -1.51877			0.952962          0.450518            0.792437
49.9151		9.62606       0.161671       6.21667e+06        4.81427e+06        -1.4024e+06         3.84855			0.956932          0.450518            0.681535
33.1083		3.64205       0.0991025       7.3977e+06        5.25903e+06        -2.13867e+06         5.1944			0.9          0.450518            0.893043
15.7087		5.62083       0.263524       6.58979e+06        6.07136e+06        -518431         1.40599			0.956932          0.450518            0.917298
5.83457		10.6931       0.646982       5.76731e+06        5.47612e+06        -291198         1.47852			0.954824          0.450518            1
31.4486		47.5956       0.602139       6.84738e+06        6.32542e+06        -521966         1.29088			0.954824          0.450518            0.571376
